Neurog3>0_raw,Neurog3>0_scaled,cell,cell_ontology_class,cell_ontology_id,cluster.ids,free_annotation,mouse.id,mouse.sex,plate.barcode,subsetA,subsetA_cluster.ids,subsetB,subsetB_cluster.ids,subsetC,subsetC_cluster.ids,subsetD,subsetD_cluster.ids,subsetE,subsetE_cluster.ids,subtissue,tissue,tissue_tSNE_1,tissue_tSNE_2
,,L2.B002421.3_39_F.1.1,endothelial cell,CL:0000115,2,endothelial cell,3_39_F,F,B002421,False,,,,,,,,,,LV,Heart,-28.925099737381625,0.6744018033855976
,,L2.B002423.3_39_F.1.1,endothelial cell,CL:0000115,2,endothelial cell,3_39_F,F,B002423,False,,,,,,,,,,RV,Heart,-29.96051370889222,3.032508046326628
,,L2.B002427.3_39_F.1.1,fibroblast,CL:0000057,3,fibroblast,3_39_F,F,B002427,False,,,,,,,,,,LA,Heart,-2.793673906542365,-13.380596011663586
,,L2.B002428.3_38_F.1.1,fibroblast,CL:0000057,3,fibroblast,3_38_F,F,B002428,False,,,,,,,,,,LA,Heart,-9.577675941996533,-19.779155271593734
,,L2.MAA000399.3_9_M.1.1,endothelial cell,CL:0000115,5,endothelial cell,3_9_M,M,MAA000399,False,,,,,,,,,,RV,Heart,-31.27199979126837,13.15778906271056
,,L2.MAA000400.3_8_M.1.1,fibroblast,CL:0000057,1,fibroblast,3_8_M,M,MAA000400,False,,,,,,,,,,LA,Heart,19.34749398048616,26.996918506879283
,,L2.MAA000587.3_8_M.1.1,endothelial cell,CL:0000115,5,endothelial cell,3_8_M,M,MAA000587,False,,,,,,,,,,LV,Heart,-14.020435319968222,22.4914381066009
,,L2.MAA000901.3_10_M.1.1,endothelial cell,CL:0000115,2,endothelial cell,3_10_M,M,MAA000901,False,,,,,,,,,,RV,Heart,-34.230558065060784,0.09633696856900953
,,L2.MAA000903.3_11_M.1.1,endothelial cell,CL:0000115,5,endothelial cell,3_11_M,M,MAA000903,False,,,,,,,,,,RA,Heart,-25.110182933388554,18.61246966309752
,,L2.MAA000920.3_11_M.1.1,fibroblast,CL:0000057,0,fibroblast,3_11_M,M,MAA000920,False,,,,,,,,,,LA,Heart,5.6511263259788524,14.990825674825896
,,L20.B000633.3_56_F.1.1,endothelial cell,CL:0000115,2,endothelial cell,3_56_F,F,B000633,False,,,,,,,,,,RV,Heart,-30.609516228012303,-1.4943229364598358
,,L20.B000634.3_56_F.1.1,fibroblast,CL:0000057,0,fibroblast,3_56_F,F,B000634,False,,,,,,,,,,LA,Heart,-1.9149421700059248,10.599507814633883
,,L20.B002010.3_39_F.1.1,fibroblast,CL:0000057,0,fibroblast,3_39_F,F,B002010,False,,,,,,,,,,RA,Heart,8.788683718032326,-2.516435892188653
,,L20.B002011.3_38_F.1.1,fibroblast,CL:0000057,3,fibroblast,3_38_F,F,B002011,False,,,,,,,,,,RA,Heart,-7.65335603992398,-9.472797646153092
,,L20.B002423.3_39_F.1.1,fibroblast,CL:0000057,0,fibroblast,3_39_F,F,B002423,False,,,,,,,,,,RV,Heart,23.340666875066557,2.4743843847969025
,,L20.B002427.3_39_F.1.1,leukocyte,CL:0000738,4,leukocyte,3_39_F,F,B002427,False,,,,,,,,,,LA,Heart,13.334945846439512,-17.02746378292016
,,L20.B002428.3_38_F.1.1,fibroblast,CL:0000057,3,fibroblast,3_38_F,F,B002428,False,,,,,,,,,,LA,Heart,-1.5440466505175852,-11.491359211421788
,,L20.MAA000398.3_9_M.1.1,endothelial cell,CL:0000115,5,endothelial cell,3_9_M,M,MAA000398,False,,,,,,,,,,LA,Heart,-19.691640157064928,21.525907283209637
,,L20.MAA000399.3_9_M.1.1,myofibroblast cell,CL:0000186,7,Myofibroblast,3_9_M,M,MAA000399,True,1.0,,,,,,,,,RV,Heart,-13.993402150762904,-36.26244200382909
,,L20.MAA000400.3_8_M.1.1,leukocyte,CL:0000738,4,leukocyte,3_8_M,M,MAA000400,False,,,,,,,,,,LA,Heart,14.05771175034751,-15.018430693278933
,,L20.MAA000452.3_8_M.1.1,endothelial cell,CL:0000115,5,endothelial cell,3_8_M,M,MAA000452,False,,,,,,,,,,RV,Heart,-17.09684226611046,19.67511121582416
,,L20.MAA000586.3_8_M.1.1,myofibroblast cell,CL:0000186,7,Myofibroblast,3_8_M,M,MAA000586,True,2.0,,,,,,,,,RA,Heart,-11.32076536716094,-34.306870734781434
,,L20.MAA000898.3_11_M.1.1,fibroblast,CL:0000057,1,fibroblast,3_11_M,M,MAA000898,False,,,,,,,,,,RV,Heart,6.0923847506809405,21.72042427372843
