1_emb1,1_emb2,2_emb1,2_emb2,3_emb1,3_emb2,ID
-5.699,11.29,3.472152145121418,-5.448304471004591,2.645777512956955,-6.484825914760383,152
-3.818,10.91,0.95663139364513,-3.748297509182082,1.4484612240088959,-2.865321939845832,153
6.426,8.954,-3.515209047581829,-10.645824250209914,-3.3342139230476837,-3.341032331844123,154
-4.954,10.42,4.185561330530963,-5.396644410122023,3.4931715025199432,-6.965744322200568,155
13.06,-1.033,6.6626431061962466,-14.900435265529739,4.476066161562302,-16.378158872981817,156
4.864,6.249,-1.4870766089221614,10.068533125888719,-7.687798451017044,0.7748112026254816,157
-7.555,8.885,2.07274547359737,-6.399339016903029,0.41500802772174067,-5.917543714900764,158
8.117,18.5,6.019157560084186,15.944956007968797,9.4612956537498,12.641881639103143,159
-4.435,6.049,-1.2385440752765315,-1.8769467439538103,0.10877551572451777,-0.3971356805761175,160
8.305,11.09,2.516844423029743,4.144061747562303,2.8536813749564667,6.007251435856072,161
15.07,11.54,-5.003343431737103,-11.37319451235591,7.46688752310405,5.531582051853387,162
-2.847,6.684,-0.9499907181522028,-0.915957030284987,0.7629160775435943,0.8503455463449641,163
4.679,6.376,-1.475022523190655,10.185819808017625,-7.5802578435646515,0.44810014400884346,164
-3.794,7.82,3.4605073048809394,-2.776995953548537,4.48283343451152,-2.922199076076301,165
-6.596,9.5,1.744297178004108,-4.247956570613966,1.9438651098502655,-4.120841806789191,166
-5.213,10.51,4.108306558344684,-4.7392247285729505,3.9961047662986298,-6.3504045661886055,167
-6.154,11.06,3.182855279658161,-5.462984856594191,2.2375855936301727,-6.1112688240011055,168
6.053,8.663,-3.4278939650317803,-10.761695679653274,-3.8604614244209747,-2.888026541133674,169
-2.197,4.637,-3.5081532881518975,1.8205339346045393,-3.126096914838455,3.2798392120401543,170
-2.615,9.411,-0.7215054319163935,-2.023726042736159,0.6401288999808806,-0.5691585000951604,171
-4.731,6.007,-1.1226514265796321,-1.5064586963540179,0.49230520861277766,0.12449663315221504,172
-5.404,6.814,-0.20321220019070077,-3.7554758157616717,-0.46630377633442693,-2.48580319251612,173
-7.605,9.405,3.8442877843120917,-5.7564929094201185,2.3801446451438446,-7.213865583797248,174
5.729,8.109,-3.2870491431018487,-11.18611126803218,-5.09737725121846,-2.2046170886953194,175
12.39,-1.441,6.710592897150836,-15.577095803249465,2.991539050508835,-16.525108641048224,176
-4.752,10.89,2.784025819514118,-3.6183441247826678,3.536522675920822,-3.9541762527425606,177
-0.256,5.617,-4.998925535466351,3.3711869154089826,-5.633819531034134,4.29422872696325,178
12.68,-2.352,6.698577554438434,-14.891329583156692,4.231647540499069,-16.43566352691248,179
-1.57,4.958,-4.1150997565051695,1.9295932684058088,-3.469170282910965,3.587467128376214,180
12.79,-2.345,6.522456319544635,-14.781954583156692,4.467513133455612,-16.09107047881678,181
